world_cup_year,home_team,away_team,home_goals,away_goals,match_outcome,goal_diff,home_host_advantage,home_strength,away_strength,stage,home_recent_form,away_recent_form,home_h2h,away_h2h
1930,Belgium,United States,0,3,A,-3,0,0.5,0.5,1,0.5,0.5,0,0
1930,France,Mexico,4,1,H,3,0,0.5,0.5,1,0.5,0.5,0,0
1930,Brazil,Serbia,1,2,A,-1,0,0.5,0.5,1,0.5,0.5,0,0
1930,Peru,Romania,1,3,A,-2,0,0.5,0.5,1,0.5,0.5,0,0
1930,Argentina,France,1,0,H,1,0,0.5,1.0,1,0.5,0.6666666666666666,0,0
1930,Chile,Mexico,3,0,H,3,0,0.5,0.0,1,0.5,0.3333333333333333,0,0
1930,Bolivia,Serbia,0,4,A,-4,0,0.5,1.0,2,0.5,0.6666666666666666,0,0
1930,Paraguay,United States,0,3,A,-3,0,0.5,1.0,1,0.5,0.6666666666666666,0,0
1930,Uruguay,Peru,1,0,H,1,1,0.5,0.0,1,0.5,0.3333333333333333,0,0
1930,Argentina,Mexico,6,3,H,3,0,1.0,0.0,1,0.6666666666666666,0.16666666666666666,0,0
1930,Chile,France,1,0,H,1,0,1.0,0.5,1,0.6666666666666666,0.5,0,0
1930,Belgium,Paraguay,0,1,A,-1,0,0.0,0.0,1,0.3333333333333333,0.3333333333333333,0,0
1930,Bolivia,Brazil,0,4,A,-4,0,0.0,0.0,2,0.3333333333333333,0.3333333333333333,0,0
1930,Uruguay,Romania,4,0,H,4,1,1.0,1.0,2,0.6666666666666666,0.6666666666666666,0,0
1930,Argentina,Chile,3,1,H,2,0,1.0,1.0,1,0.8333333333333334,0.8333333333333334,0,0
1930,Argentina,United States,6,1,H,5,0,1.0,1.0,2,1.0,0.8333333333333334,0,0
1930,Uruguay,Serbia,6,1,H,5,1,1.0,1.0,2,0.8333333333333334,0.8333333333333334,0,0
1930,Uruguay,Argentina,4,2,H,2,1,1.0,1.0,1,1.0,1.0,0,0
1934,Argentina,Sweden,2,3,A,-1,0,0.8,0.5,1,0.6666666666666666,0.5,0,0
1934,Austria,France,3,2,H,1,0,0.5,0.3333333333333333,1,0.5,0.3333333333333333,0,0
1934,Belgium,Germany,2,5,A,-3,0,0.0,0.5,1,0.16666666666666666,0.5,0,0
1934,Brazil,Spain,1,3,A,-2,0,0.5,0.5,1,0.5,0.5,0,0
1934,Czech Republic,Romania,2,1,H,1,0,0.5,0.5,1,0.5,0.5,0,0
1934,Egypt,Hungary,2,4,A,-2,0,0.5,0.5,1,0.5,0.5,0,0
1934,Italy,United States,7,1,H,6,1,0.5,0.6666666666666666,2,0.5,0.6666666666666666,0,0
1934,Netherlands,Switzerland,2,3,A,-1,0,0.5,0.5,1,0.5,0.5,0,0
1934,Austria,Hungary,2,1,H,1,0,1.0,1.0,1,0.6666666666666666,0.6666666666666666,0,0
1934,Czech Republic,Switzerland,3,2,H,1,0,1.0,1.0,1,0.6666666666666666,0.6666666666666666,0,0
1934,Germany,Sweden,2,1,H,1,0,1.0,1.0,1,0.6666666666666666,0.6666666666666666,0,0
1934,Italy,Spain,1,1,D,0,1,1.0,1.0,1,0.6666666666666666,0.6666666666666666,0,0
1934,Italy,Spain,1,0,H,1,1,0.5,0.5,1,0.6666666666666666,0.6666666666666666,0,0
1934,Czech Republic,Germany,3,1,H,2,0,1.0,1.0,1,0.8333333333333334,0.8333333333333334,0,0
1934,Italy,Austria,1,0,H,1,1,0.6666666666666666,1.0,1,0.8333333333333334,0.8333333333333334,0,0
1934,Austria,Germany,2,3,A,-1,0,0.6666666666666666,0.6666666666666666,1,0.6666666666666666,0.6666666666666666,0,0
1934,Italy,Czech Republic,2,1,H,1,1,0.75,1.0,1,0.8333333333333334,1.0,0,0
1938,Germany,Switzerland,1,1,D,0,0,0.75,0.5,1,0.6666666666666666,0.5,0,0
1938,Brazil,Poland,6,5,H,1,0,0.3333333333333333,0.5,1,0.3333333333333333,0.5,0,0
1938,Cuba,Romania,3,3,D,0,0,0.5,0.3333333333333333,1,0.5,0.3333333333333333,0,0
1938,Czech Republic,Netherlands,3,0,H,3,0,0.75,0.0,1,0.6666666666666666,0.3333333333333333,0,0
1938,France,Belgium,3,1,H,2,1,0.25,0.0,1,0.0,0.0,0,0
1938,Hungary,Indonesia,6,0,H,6,0,0.5,0.5,2,0.5,0.5,0,0
1938,Italy,Norway,2,1,H,1,0,0.8,0.5,1,1.0,0.5,0,0
1938,Cuba,Romania,2,1,H,1,0,0.0,0.25,1,0.5,0.16666666666666666,0,0
1938,Germany,Switzerland,2,4,A,-2,0,0.6,0.3333333333333333,1,0.5,0.5,0,0
1938,Brazil,Czech Republic,1,1,D,0,0,0.5,0.8,1,0.6666666666666666,0.6666666666666666,0,0
1938,Cuba,Sweden,0,8,A,-8,0,0.5,0.5,2,0.6666666666666666,0.5,0,0
1938,France,Italy,1,3,A,-2,1,0.4,0.8333333333333334,1,0.3333333333333333,1.0,0,0
1938,Hungary,Switzerland,2,0,H,2,0,0.6666666666666666,0.5,1,0.6666666666666666,0.5,0,0
1938,Brazil,Czech Republic,2,1,H,1,0,0.4,0.6666666666666666,1,0.5,0.5,0,0
1938,Brazil,Italy,1,2,A,-1,0,0.5,0.8571428571428571,1,0.8333333333333334,1.0,0,0
1938,Hungary,Sweden,5,1,H,4,0,0.75,0.6666666666666666,2,0.6666666666666666,0.6666666666666666,0,0
1938,Brazil,Sweden,4,2,H,2,0,0.4285714285714285,0.5,1,0.5,0.3333333333333333,0,0
1938,Hungary,Italy,2,4,A,-2,0,0.8,0.875,1,1.0,1.0,0,0
1950,Brazil,Mexico,4,0,H,4,1,0.5,0.0,2,0.6666666666666666,0.0,0,0
1950,Chile,England,0,2,A,-2,0,0.6666666666666666,0.5,1,0.6666666666666666,0.5,0,0
1950,Italy,Sweden,2,3,A,-1,0,0.8888888888888888,0.4,1,1.0,0.3333333333333333,0,0
1950,Spain,United States,3,1,H,2,0,0.3333333333333333,0.5,1,0.5,0.3333333333333333,0,0
1950,Switzerland,Serbia,0,3,A,-3,0,0.4,0.6666666666666666,1,0.5,0.6666666666666666,0,0
